"[1.772453850905516, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[2.7339823631029203, -0.38062136961732307, -0.13449008593515988, -0.059811845778883856, -0.02644422221008298, -0.011696681580429443, -0.005181957863939966, -0.0023062363650372714]"
"[1.772453850905516, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[2.7309900506314877, -0.13710275466650476, -0.027201537171556763, -0.0054071639414363225, -0.001093951750419288, -0.00023168766979466128, -5.462161137865471e-05, -1.573994346356689e-05, -5.877992132356922e-06, -2.723848052374252e-06, -1.4348529364634e-06, -8.116564111196441e-07, -4.836703149632027e-07, -3.042674295353453e-07]"
"[1.772453850905516, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[2.7309752800089866, -0.005408701453244192, -5.4576679166187205e-05, -2.5977118738203238e-06, -3.8140230421000573e-07, -6.362911697465384e-08, -1.074560686629412e-08, -1.7951578685863908e-09, -2.83007576980559e-10, -3.6090893972136945e-11, -6.306364516460025e-13, 2.1362616391493175e-12, 1.1731025957458588e-12, 4.319167873298963e-13, 9.138909172469917e-14, -3.616977715917908e-14, -6.841756037075735e-14]"
"[1.772453850905516, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[2.7309751553626462, -0.0001104078847413096, -6.981680141971515e-07, -2.5375237210133638e-08, -7.865000321748477e-10, 2.6056551626329513e-11, 1.5651885777114548e-11, 4.247745124148713e-12, 1.0601727406998818e-12, 2.593131503994332e-13, 6.220307888930763e-14, 1.439485949181664e-14, 3.1100488972045293e-15, 5.843154317418866e-16, 7.606338058133457e-17, -3.303912868927044e-18, -6.1184794278340455e-18, -1.1946082879022896e-18]"
"[1.772453850905516, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[2.7309746775214214, -4.4907913169313937e-10, 1.618549846359481e-11, 1.605374521539973e-13, 1.6337489940872646e-15, 3.1417364235820656e-18, -1.0581986546952603e-18, -8.759543069554387e-20, -6.734564241662594e-21, -6.245625141759634e-22, -7.847375084124607e-23, -1.203159097142299e-23, -1.836766090501675e-24, -2.3031673373180707e-25, -1.3836394104979984e-26, 3.644174278628355e-27, 1.6676554352192327e-27, 3.6754899898208554e-28, 3.9994236173457865e-29, -1.731729459045324e-32]"
"[1.329340388179137, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[1.110732303075745, 0.10750381418201012, 0.08450468869977121, 0.06670042319359587, 0.0528597158761803, 0.042060954500714356, 0.033620468397127214, 0.02702444630397049]"
"[1.329340388179137, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[1.1526432855969284, 0.09777369570825226, 0.05666706668121223, 0.03254147996312177, 0.01844570138134524, 0.010294883222474453, 0.00564424936535949, 0.00303106236481767, 0.0015877553597403045, 0.0008061916195005632, 0.00039307412832713146, 0.0001818457286077035, 7.967314010281452e-05, 3.6050179485318435e-05]"
"[1.329340388179137, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[1.1604507722172264, 0.03186073620774196, 0.004556575169056856, 0.00018512866247174544, -0.0002065373131879917, -0.00012064505125321368, -5.142432663762278e-05, -2.061973283812115e-05, -8.436112575484728e-06, -3.6382073086239537e-06, -1.6753124073857363e-06, -8.301069025209048e-07, -4.4521195890014806e-07, -2.576351699420591e-07, -1.5694585475011317e-07, -9.41205923250302e-08, -4.500813001225199e-08]"
"[1.329340388179137, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[1.1606243741964597, 0.006463755998053308, -0.000204846854112203, -8.341582495701328e-05, -1.587125555035274e-05, -3.1348023771001317e-06, -6.665808199189153e-07, -1.4279411935440002e-07, -2.872947960899538e-08, -4.847168908278796e-09, -5.010767532504438e-10, -3.403455038573249e-11, -1.3488015105517808e-10, -2.0649947204885946e-10, -2.0188852819665843e-10, -1.571573356163421e-10, -1.0316157203426698e-10, -5.520073551540385e-11]"
"[1.329340388179137, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[1.1606419024408257, -2.5116028417707943e-05, -2.1176659086849625e-08, 1.0731031267007567e-08, 1.962913251867751e-09, 3.633065074379602e-10, 6.779425086269785e-11, 1.2080700486152784e-11, 1.903581413411927e-12, 2.153991866471261e-13, -5.899085297275786e-15, -1.4698539787609284e-14, -6.441992644342831e-15, -2.1321750106752168e-15, -6.06520305521049e-16, -1.4941338024459878e-16, -2.929077007941611e-17, -3.060241360367042e-18, 4.2718021251848467e-19, 8.139650480621512e-21]"
