"[1.772453850905516, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.2760136021565405, -1.7850425600571858e-06, -1.1386493425499166e-07, -2.6809667193348316e-08, -1.9637779132451375e-08, -1.9163048823371307e-08, -1.924717256170943e-08, -1.9377378498895554e-08, -1.9511692501779662e-08, -1.9647000856758663e-08, -1.9783198757888533e-08, -1.9920335989624793e-08, -2.0058431102014473e-08, -2.0197464544490865e-08, -2.0337340229197555e-08, -2.0477628283933048e-08, -2.0615308480021203e-08, -2.0720591049161464e-08, -2.045884746234744e-08, -1.5958893167129976e-08]"
"[1.329340388179137, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.13543442750586285, -0.018987853019842016, -0.018313088902910033, -0.01715868987980841, -0.01581994103056845, -0.014410555630966352, -0.012974589260727523, -0.011511985282487943]"
"[1.329340388179137, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.21481716940744675, -0.015600170368104044, -0.014387636489177843, -0.012520808957145305, -0.010658785574942915, -0.008984403620745273, -0.0075319556123357775, -0.0062899789582462964, -0.005234041447612542, -0.004337390481277753, -0.0035743979934403157, -0.0029215464210148217, -0.0023575086139974687, -0.0018627718498615102]"
"[1.329340388179137, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.22941413073817707, -0.011865920429359498, -0.007204937947706767, -0.004251263031884086, -0.0025113606979764386, -0.0015032363774487119, -0.0009199157157101825, -0.00057964679489357, -0.0003779326247381389, -0.0002554451695494166, -0.0001786143548958863, -0.00012838311003880395, -9.382578839013537e-05, -6.855977659648693e-05, -4.872762704784305e-05, -3.184665572343159e-05, -1.657998607076938e-05]"
"[1.329340388179137, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.22974595696577185, -0.007819578875790883, -0.00296931757859803, -0.0011610711123414745, -0.000495466606569826, -0.00023901706890437041, -0.00013104423982562003, -7.975912984833686e-05, -5.209272572252948e-05, -3.549521793888276e-05, -2.4779632831478627e-05, -1.7540490458060434e-05, -1.2513308874744134e-05, -8.955921742635341e-06, -6.3939899540620755e-06, -4.5013101998683585e-06, -3.0315850517847066e-06, -1.7678624812346097e-06]"
"[1.329340388179137, 800]","[2, 43, 84, 125, 166, 207, 248, 289, 330, 371, 412, 453, 494, 535, 576, 617, 658, 699, 740, 781]","[0.22977974834630815, -0.0006162637295472597, -6.430874761589699e-05, -1.6185593563709853e-05, -4.941121022771788e-06, -1.7681673514137164e-06, -8.079245520012583e-07, -4.954254585311928e-07, -3.840827507276421e-07, -3.3991798567722077e-07, -3.20336651679421e-07, -3.106649683556628e-07, -3.051869893799347e-07, -3.011658988680516e-07, -2.9670744570002345e-07, -2.8958699690563873e-07, -2.7579460546510895e-07, -2.470624097929635e-07, -1.903126889306664e-07, -1.0352544699667246e-07]"
"[1.0634723105433097, 10]","[2, 3, 4, 5, 6, 7, 8, 9]","[0.06158361332400564, -0.004026182906672574, -0.0044859080620106625, -0.005120978196286083, -0.0059555919057526375, -0.007022174297630558, -0.00836270275049888, -0.010030440841834937]"
"[1.0634723105433097, 30]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]","[0.457119052293118, -0.046177306653406074, -0.031052279732634483, -0.02097618240202386, -0.014276721781091442, -0.00984593652295901, -0.006954130031642686, -0.0051277018150400954, -0.004070078135949026, -0.0036123621782282126, -0.0036853916346222884, -0.004308518684439402, -0.005593249652078712, -0.007762378957548194]"
"[1.0634723105433097, 100]","[2, 8, 14, 20, 26, 32, 38, 44, 50, 56, 62, 68, 74, 80, 86, 92, 98]","[0.5089421361739934, -0.026206772856838187, -0.00797152327385309, -0.002555312838556539, -0.0009231268046735138, -0.00041205490423856805, -0.00023651440217144475, -0.00016414190196419908, -0.00012567515797911986, -0.00010000910936017117, -8.031584276507579e-05, -6.40386745573518e-05, -4.991502300586261e-05, -3.708591602542572e-05, -2.4942380861443098e-05, -1.3775627438410848e-05, -8.05126777314591e-06]"
"[1.0634723105433097, 200]","[2, 13, 24, 35, 46, 57, 68, 79, 90, 101, 112, 123, 134, 145, 156, 167, 178, 189]","[0.5092223001973792, -0.00965076705123258, -0.001242508819858963, -0.0002867515737544975, -0.00014069119141377597, -9.385422319587637e-05, -6.694948717858996e-05, -4.8709565691288406e-05, -3.591670731826044e-05, -2.6824051505710513e-05, -2.0277694241432946e-05, -1.5488666932414648e-05, -1.191220618215115e-05, -9.166704303926717e-06, -6.975671116391186e-06, -5.121759013035224e-06, -3.4029275702168217e-06, -1.642312186920028e-06]"
